,level_0,Population Rank,State,Population in 2021,Population in 2020,Total Size Rank,total_size,Land Size Rank,land area,Water Area Rank,water area,Population Density Rank,Population Density,percent_land_area,index,Solar Potential Rank,Sun Index,State Abbreviation,Average Income,2019_BEV_Sales,2019_BEV_Market_Share,2019_PHEV_Sales,2019_PHEV_Market_Share,EV_BEV_PHEV_Share,EV_BEV_PHEV_Sales,income_rank,Sun Index Tier,population density tier,Charging Station Count,EV_station_availability,EV_sales,party_score,state_party_aff_color,income log
30,30.0,11.0,New Jersey,9267130.0,9288994.0,47.0,8722.58,46.0,7354.22,27.0,1368.36,2.0,1260.11,0.8431243966807986,38.0,20.0,0.81,NJ,119883.97,7276,0.0127,2157,0.0038,0.0165,9433,c.<120K,b.<0.9,d.200+,867,0.09191137496024594,943.3,1.0,3,11.694279637332045
31,31.0,36.0,New Mexico,2115877.0,2117522.0,5.0,121590.3,5.0,121298.15,49.0,292.15,46.0,17.443,0.9975972589918768,2.0,3.0,1.16,NM,72198.14,539,0.006900000000000001,248,0.0032,0.0101,787,a.< 80K,d.1+,a.<50,208,0.26429479034307496,78.7,1.0,3,11.187169562776225
32,32.0,4.0,New York,19835913.0,20201249.0,27.0,54554.98,30.0,47126.4,7.0,7428.58,8.0,420.908,0.863833145938281,33.0,18.0,0.83,NY,101402.76,8830,0.009000000000000001,5993,0.0060999999999999995,0.0151,14823,c.<120K,b.<0.9,d.200+,3403,0.2295756594481549,1482.3,1.0,3,11.526855588703702
33,33.0,9.0,North Carolina,10551162.0,10439388.0,28.0,53819.16,29.0,48617.91,10.0,5201.25,16.0,217.022,0.903356908580513,17.0,12.0,0.9,NC,83726.98,4483,0.0113,910,0.0023,0.0136,5393,b.<100K,c.<1.0,d.200+,1211,0.22455034303727053,539.3,0.14,0,11.335316546233178
34,34.0,47.0,North Dakota,774948.0,779094.0,19.0,70698.32,17.0,69000.8,24.0,1697.52,48.0,11.231,0.975989245571889,30.0,17.0,0.84,ND,87614.5,92,0.0025,22,0.0006,0.0031,114,b.<100K,b.<0.9,a.<50,79,0.6929824561403509,11.4,0.0,0,11.380701788340868
35,35.0,7.0,Ohio,11780017.0,11799448.0,34.0,44825.58,35.0,40860.69,14.0,3964.89,11.0,288.297,0.9115484953011205,45.0,23.0,0.74,OH,82814.43,4744,0.008100000000000001,1159,0.002,0.0101,5903,b.<100K,a.<0.8,d.200+,1149,0.1946467897679146,590.3,0.04,0,11.324357600551483
36,36.0,28.0,Oklahoma,3986639.0,3959353.0,20.0,69898.87,19.0,68594.92,30.0,1303.95,36.0,58.118,0.9813451919895129,6.0,6.0,0.98,OK,76735.96,551,0.0023,223,0.0009,0.0032,774,a.< 80K,c.<1.0,b.<100,336,0.43410852713178294,77.4,0.0,0,11.248125717119327
37,37.0,27.0,Oregon,4246155.0,4237256.0,9.0,98378.54,10.0,95988.01,20.0,2390.53,40.0,44.236,0.975700696513691,46.0,24.0,0.71,OR,104543.28,5366,0.0332,1697,0.0105,0.0437,7063,c.<120K,a.<0.8,a.<50,1024,0.14498088630893388,706.3,1.0,3,11.55735642732474
38,38.0,5.0,Pennsylvania,12964056.0,12812508.0,33.0,46054.34,32.0,44742.7,28.0,1311.64,10.0,289.746,0.9715197308223286,34.0,18.0,0.83,PA,100056.02,4339,0.0068000000000000005,2015,0.0032,0.01,6354,c.<120K,b.<0.9,d.200+,1323,0.20821529745042494,635.4,0.7200000000000001,2,11.513485508116785
39,39.0,44.0,Rhode Island,1095610.0,1097379.0,50.0,1544.89,50.0,1033.81,43.0,511.07,3.0,1059.778,0.669180329991132,37.0,19.0,0.82,RI,100468.74,405,0.0076,277,0.0052,0.0128,682,c.<120K,b.<0.9,d.200+,301,0.4413489736070381,68.2,1.0,3,11.517601913320688
40,40.0,23.0,South Carolina,5190705.0,5118425.0,40.0,32020.49,40.0,30060.7,21.0,1959.79,20.0,172.674,0.9387957523448267,14.0,10.0,0.92,SC,83231.97,956,0.0046,379,0.0018,0.0064,1335,b.<100K,c.<1.0,c.<200,432,0.3235955056179775,133.5,0.0,0,11.329386807810021
41,41.0,46.0,South Dakota,895376.0,886667.0,17.0,77115.68,16.0,75811.0,29.0,1304.68,47.0,11.81,0.9830815211640487,22.0,14.0,0.87,SD,90680.44,109,0.003,77,0.0021,0.0051,186,b.<100K,b.<0.9,a.<50,68,0.3655913978494624,18.6,0.0,0,11.415096956837306
42,42.0,16.0,Tennessee,6975218.0,6910840.0,36.0,42144.25,34.0,41234.9,35.0,909.36,21.0,169.158,0.9784229165307249,25.0,16.0,0.85,TN,80185.14,1773,0.007000000000000001,349,0.0014000000000000002,0.0084,2122,b.<100K,b.<0.9,c.<200,705,0.33223374175306314,212.2,0.0,0,11.292093489903847
43,43.0,2.0,Texas,29527941.0,29145505.0,2.0,268596.46,2.0,261231.71,8.0,7364.75,25.0,113.033,0.9725806140557474,5.0,6.0,0.98,TX,96468.32,3460,0.0028000000000000004,2320,0.0019,0.0047,5780,b.<100K,c.<1.0,c.<200,2529,0.4375432525951557,578.0,0.0,0,11.476969943272627
44,44.0,30.0,Utah,3337975.0,3271616.0,13.0,84896.88,12.0,82169.62,17.0,2727.26,41.0,40.622,0.9678756156881146,10.0,8.0,0.95,UT,107811.18,2327,0.014199999999999999,702,0.0043,0.018500000000000003,3029,c.<120K,c.<1.0,a.<50,803,0.2651039947177286,302.9,0.0,0,11.588136642654604
45,45.0,50.0,Vermont,645570.0,643077.0,45.0,9616.36,43.0,9216.66,46.0,399.71,32.0,70.043,0.9584354163113693,43.0,22.0,0.77,VT,98588.88,662,0.0154,343,0.008,0.023399999999999997,1005,b.<100K,a.<0.8,b.<100,343,0.34129353233830845,100.5,0.84,3,11.498713755326042
46,46.0,12.0,Virginia,8642274.0,8631393.0,35.0,42774.93,36.0,39490.09,15.0,3284.84,15.0,218.846,0.9232064202092206,21.0,14.0,0.87,VA,114811.15,5677,0.015300000000000001,1337,0.0036,0.0189,7014,c.<120K,b.<0.9,d.200+,1265,0.18035357855717138,701.4,0.76,2,11.651043883586773
47,47.0,13.0,Washington,7738692.0,7705281.0,18.0,71297.95,20.0,66455.52,11.0,4842.43,23.0,116.449,0.9320817779473324,47.0,25.0,0.67,WA,106549.53,10256,0.0359,1916,0.0067,0.0426,12172,c.<120K,a.<0.8,c.<200,1837,0.1509201445941505,1217.2,1.0,3,11.576365226442421
48,48.0,39.0,West Virginia,1782959.0,1793716.0,41.0,24230.04,41.0,24038.21,50.0,191.83,30.0,74.171,0.9920829680842458,42.0,21.0,0.79,WV,75856.35,179,0.0035000000000000005,71,0.0014000000000000002,0.0049,250,a.< 80K,a.<0.8,b.<100,120,0.48,25.0,0.04,0,11.23659669913674
49,49.0,20.0,Wisconsin,5895908.0,5893718.0,23.0,65496.38,25.0,54157.8,4.0,11338.57,26.0,108.865,0.8268823406728739,39.0,20.0,0.81,WI,91538.21,1381,0.0057,581,0.0024,0.008100000000000001,1962,b.<100K,b.<0.9,c.<200,455,0.23190621814475026,196.2,0.68,2,11.42451175972324
50,50.0,51.0,Wyoming,578803.0,576851.0,10.0,97813.01,9.0,97093.14,37.0,719.87,50.0,5.961,0.9926403450829292,7.0,7.0,0.96,WY,80389.41,100,0.0028000000000000004,44,0.0012,0.004,144,b.<100K,c.<1.0,a.<50,75,0.5208333333333334,14.4,0.0,0,11.294637730073779
